id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,532251,204,3,951,758,527.203125,323.4375,1.0120792388916016,0.9629066586494446,0,0,1467,828
1,41310,1397,0,69,825,1444.078125,38.8125,1.0033612251281738,0.9886653423309326,0,0,1467,828
2,15971,0,0,113,144,68.765625,38.8125,1.0029717683792114,0.9892272353172302,0,0,1467,828
3,287131,1055,0,411,824,1398.234375,142.3125,1.0012155771255493,0.9872564077377319,0,0,1467,828
4,105047,0,0,145,825,68.765625,401.0625,0.9984985589981079,0.9869928359985352,0,0,1467,828
5,3213,1012,0,68,89,1031.484375,38.8125,0.9916962385177612,0.9827320575714111,0,0,1467,828
6,35179,0,0,119,308,22.921875,194.0625,0.9904574155807495,0.986375093460083,0,0,1467,828
7,7929,839,243,85,114,848.109375,323.4375,0.9888401031494141,0.9805510640144348,0,0,1467,828
8,1313,189,393,51,29,206.296875,401.0625,0.9879246950149536,0.9782282114028931,0,0,1467,828
9,6294,1088,0,38,257,1123.171875,168.1875,0.9878813624382019,0.9523809552192688,0,0,1467,828
10,21937,1197,45,81,355,1214.859375,297.5625,0.9875347018241882,0.977559506893158,0,0,1467,828
11,3852,743,612,163,37,893.953125,633.9375,0.9863643646240234,0.9687659740447998,0,0,1467,828
12,14292,683,613,222,146,710.578125,711.5625,0.985958456993103,0.9839583039283752,0,0,1467,828
13,7212,577,289,86,113,618.890625,323.4375,0.9857578277587891,0.956133246421814,0,0,1467,828
14,21941,1197,44,124,356,1214.859375,194.0625,0.9844881296157837,0.9765881896018982,0,0,1467,828
15,58053,638,619,497,207,848.109375,763.3125,0.9841415286064148,0.9806511998176575,0,0,1467,828
16,4946,0,676,141,41,114.609375,685.6875,0.9824384450912476,0.9813514947891235,0,0,1467,828
17,14877,583,694,215,133,710.578125,763.3125,0.981829047203064,0.9775161147117615,0,0,1467,828
18,17838,547,258,134,166,618.890625,401.0625,0.9808236360549927,0.9729176163673401,0,0,1467,828
19,60845,171,0,289,393,206.296875,297.5625,0.9804138541221619,0.9826585054397583,0,0,1467,828
20,2186,475,0,49,55,481.359375,38.8125,0.979901134967804,0.9714931845664978,0,0,1467,828
21,4080,907,706,121,121,939.796875,789.1875,0.9779220223426819,0.9798738956451416,0,0,1467,828
22,54844,1159,0,169,408,1214.859375,64.6875,0.9772348403930664,0.9810261726379395,0,0,1467,828
23,3537,438,0,87,56,481.359375,38.8125,0.9771052598953247,0.9815126061439514,0,0,1467,828
24,18869,0,142,120,165,68.765625,219.9375,0.9769986867904663,0.9829795956611633,0,0,1467,828
25,19030,1115,0,74,419,1123.171875,38.8125,0.97641921043396,0.969124972820282,0,0,1467,828
26,7213,322,26,176,140,389.671875,90.5625,0.9749358892440796,0.9716942310333252,0,0,1467,828
27,6028,0,305,122,53,68.765625,323.4375,0.974515974521637,0.9819375872612,0,0,1467,828
28,6138,470,381,88,130,527.203125,452.8125,0.9733211398124695,0.9741032719612122,0,0,1467,828
29,18597,820,213,136,168,848.109375,349.3125,0.972563624382019,0.9820458292961121,0,0,1467,828
30,2213,737,460,77,52,756.421875,504.5625,0.9695901274681091,0.9811912178993225,0,0,1467,828
31,67665,0,307,146,518,22.921875,556.3125,0.9683400392532349,0.9501499533653259,0,0,1467,828
32,3892,0,422,43,94,22.921875,426.9375,0.9683102369308472,0.9864692091941833,0,0,1467,828
33,5088,3,731,59,94,22.921875,763.3125,0.9678252339363098,0.9787937998771667,0,0,1467,828
34,3476,106,723,39,97,114.609375,815.0625,0.9668576121330261,0.9817456007003784,0,0,1467,828
35,50982,115,0,209,826,160.453125,633.9375,0.9662875533103943,0.9608016014099121,0,0,1467,828
36,6376,321,31,108,137,389.671875,90.5625,0.9661092758178711,0.9738794565200806,0,0,1467,828
37,50914,115,0,116,826,160.453125,659.8125,0.9659228920936584,0.96164870262146,0,0,1467,828
38,1011,841,254,30,40,848.109375,271.6875,0.9650918841362,0.9832841753959656,0,0,1467,828
39,4780,0,573,52,97,22.921875,582.1875,0.9640965461730957,0.97905433177948,0,0,1467,828
40,670,570,21,25,36,573.046875,38.8125,0.9638935327529907,0.9925705790519714,0,0,1467,828
41,2226,737,456,115,55,756.421875,478.6875,0.9636616706848145,0.9782705307006836,0,0,1467,828
42,663,705,801,38,26,710.578125,815.0625,0.9622055292129517,0.9865067601203918,0,0,1467,828
43,6722,559,423,126,71,664.734375,452.8125,0.9607966542243958,0.9817243814468384,0,0,1467,828
44,3548,97,570,40,95,114.609375,582.1875,0.959218442440033,0.9816104769706726,0,0,1467,828
45,7311,1291,12,37,353,1306.546875,12.9375,0.9570481181144714,0.9626745581626892,0,0,1467,828
46,6374,1005,618,132,209,1077.328125,685.6875,0.9569604396820068,0.9594448804855347,0,0,1467,828
47,1263,191,424,33,56,206.296875,426.9375,0.9551829695701599,0.974198579788208,0,0,1467,828
48,4522,1159,0,113,75,1169.015625,64.6875,0.9550246596336365,0.9783322215080261,0,0,1467,828
49,1563,985,0,61,88,1031.484375,64.6875,0.953793466091156,0.9697160720825195,0,0,1467,828
50,5869,582,756,111,71,618.890625,763.3125,0.9537368416786194,0.9580828547477722,0,0,1467,828
51,2593,729,755,84,59,802.265625,789.1875,0.9523219466209412,0.9649056792259216,0,0,1467,828
52,3545,89,415,41,96,114.609375,504.5625,0.9520332217216492,0.9730405807495117,0,0,1467,828
53,28709,1056,0,132,419,1169.015625,375.1875,0.9520070552825928,0.95184725522995,0,0,1467,828
54,4683,986,0,92,91,1031.484375,64.6875,0.9513550996780396,0.9807570576667786,0,0,1467,828
55,287852,324,0,1142,824,1306.546875,219.9375,0.949840784072876,0.963238000869751,0,0,1467,828
56,2783,630,695,66,76,664.734375,737.4375,0.9462597370147705,0.955485463142395,0,0,1467,828
57,464,841,792,17,35,848.109375,815.0625,0.9451500773429871,0.9744681119918823,0,0,1467,828
58,4120,1052,0,44,182,1077.328125,142.3125,0.9437183141708374,0.9604949951171875,0,0,1467,828
59,4154,854,358,105,70,939.796875,401.0625,0.9414514303207397,0.9628490209579468,0,0,1467,828
60,2845,0,235,43,69,22.921875,245.8125,0.9400994777679443,0.9737206101417542,0,0,1467,828
61,652,803,454,53,21,848.109375,452.8125,0.9384548664093018,0.9624624848365784,0,0,1467,828
62,2664,189,393,51,87,206.296875,452.8125,0.9359580278396606,0.975492000579834,0,0,1467,828
63,19768,205,609,134,217,252.140625,815.0625,0.9096483588218689,0.9533781409263611,0,0,1467,828
64,4678,1058,589,65,140,1077.328125,633.9375,0.9094524383544922,0.9537307024002075,0,0,1467,828
65,1021,375,728,41,38,389.671875,737.4375,0.9079353213310242,0.9729207158088684,0,0,1467,828
66,985,0,379,34,32,22.921875,401.0625,0.9011856913566589,0.9649999737739563,0,0,1467,828
