id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,119389,3,1,394,363,143.75,234.46875,1.0542900562286377,0.9919536709785461,0,0,400,366
1,12799,0,0,126,364,6.25,291.65625,0.9718141555786133,0.9714087843894958,0,0,400,366
2,295,315,138,20,15,331.25,154.40625,0.9700324535369873,0.9898648858070374,0,0,400,366
3,113,288,160,15,7,293.75,165.84375,0.9490454196929932,0.9568965435028076,0,0,400,366
4,61,280,104,7,7,281.25,108.65625,0.9490220546722412,1.0,0,0,400,366
5,903,60,144,31,38,81.25,177.28125,0.9435605406761169,0.9502702951431274,0,0,400,366
6,11968,274,0,125,364,318.75,348.84375,0.9427800178527832,0.9681833386421204,0,0,400,366
7,199,256,8,14,16,268.75,17.15625,0.9426542520523071,1.0,0,0,400,366
8,64,224,176,7,7,231.25,177.28125,0.9422025680541992,1.0,0,0,400,366
9,122,136,223,7,16,143.75,234.46875,0.9372035264968872,0.975806474685669,0,0,400,366
10,107,179,227,9,12,181.25,234.46875,0.9305440187454224,0.9816513657569885,0,0,400,366
11,74,231,198,8,9,231.25,200.15625,0.9128996729850769,0.9866666793823242,0,0,400,366
12,161,315,181,15,13,331.25,188.71875,0.9064268469810486,0.9515151381492615,0,0,400,366
13,118,317,181,12,11,318.75,188.71875,0.8955124616622925,0.9750000238418579,0,0,400,366
14,91,167,128,8,10,168.75,131.53125,0.8875255584716797,0.9569892287254333,0,0,400,366
