id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,109366,662,666,479,286,990.0,826.875,1.0136959552764893,0.9901058673858643,0,0,1920,1080
1,1568034,219,0,1700,1077,450.0,253.125,1.0115453004837036,0.9714809656143188,0,0,1920,1080
2,8062,1530,0,71,152,1590.0,118.125,1.0113524198532104,0.9846248626708984,0,0,1920,1080
3,74673,1494,0,320,330,1590.0,50.625,1.0108211040496826,0.9858332276344299,0,0,1920,1080
4,31061,610,289,170,276,630.0,489.375,1.0060303211212158,0.971594512462616,0,0,1920,1080
5,538864,493,86,866,891,810.0,421.875,1.001461148262024,0.9763396382331848,0,0,1920,1080
6,3351,1381,0,86,52,1410.0,16.875,0.9969573616981506,0.9946460723876953,0,0,1920,1080
7,57262,1752,0,167,523,1770.0,185.625,0.996242105960846,0.9820117950439453,0,0,1920,1080
8,133182,1662,222,257,732,1710.0,658.125,0.9958064556121826,0.9900538325309753,0,0,1920,1080
9,53254,804,0,216,314,990.0,118.125,0.994512140750885,0.9798662662506104,0,0,1920,1080
10,88078,529,235,285,397,630.0,455.625,0.992099404335022,0.9765984416007996,0,0,1920,1080
11,5229,1881,683,38,199,1890.0,860.625,0.9918528199195862,0.9816253185272217,0,0,1920,1080
12,14262,690,0,124,244,690.0,151.875,0.9912833571434021,0.9698916077613831,0,0,1920,1080
13,13703,988,950,203,129,1110.0,1029.375,0.9896448254585266,0.9812084436416626,0,0,1920,1080
14,57205,1333,601,362,476,1590.0,995.625,0.9879936575889587,0.9752845764160156,0,0,1920,1080
15,35425,1054,315,187,289,1110.0,489.375,0.9871075749397278,0.9560121893882751,0,0,1920,1080
16,16525,548,891,160,188,630.0,961.875,0.9859143495559692,0.9847548007965088,0,0,1920,1080
17,18196,1529,0,170,293,1590.0,84.375,0.9854151010513306,0.9812830090522766,0,0,1920,1080
18,349517,0,0,546,1076,390.0,50.625,0.9850319623947144,0.9902371168136597,0,0,1920,1080
19,11829,613,881,119,198,690.0,995.625,0.9838859438896179,0.9773335456848145,0,0,1920,1080
20,15332,840,941,350,112,930.0,1029.375,0.9832833409309387,0.9798566699028015,0,0,1920,1080
21,36122,1668,670,251,283,1710.0,691.875,0.9801747798919678,0.9762263298034668,0,0,1920,1080
22,57633,1332,397,363,680,1470.0,961.875,0.9788292646408081,0.9735955595970154,0,0,1920,1080
23,1488,1134,388,43,45,1170.0,421.875,0.9781510829925537,0.9800266027450562,0,0,1920,1080
24,58665,1201,568,494,509,1650.0,691.875,0.9769842028617859,0.9589230418205261,0,0,1920,1080
25,19295,720,938,240,141,870.0,1029.375,0.9764755368232727,0.9844666123390198,0,0,1920,1080
26,9687,1556,136,143,156,1590.0,151.875,0.9745327234268188,0.9785801768302917,0,0,1920,1080
27,93980,1022,266,294,411,1050.0,590.625,0.9728946685791016,0.9681772589683533,0,0,1920,1080
28,7914,518,768,98,209,570.0,860.625,0.9711995124816895,0.9802277684211731,0,0,1920,1080
29,34606,718,938,473,141,870.0,1029.375,0.9700151681900024,0.9704182147979736,0,0,1920,1080
30,94846,1021,85,297,593,1170.0,624.375,0.9696546792984009,0.9611745476722717,0,0,1920,1080
31,688,1638,998,17,54,1650.0,1029.375,0.9690930247306824,0.9898843765258789,0,0,1920,1080
32,5241,1162,118,87,160,1170.0,151.875,0.9688164591789246,0.9790249466896057,0,0,1920,1080
33,15324,549,0,220,281,630.0,118.125,0.9686703681945801,0.972905158996582,0,0,1920,1080
34,1688,728,1002,31,77,750.0,1063.125,0.9680941700935364,0.98591548204422,0,0,1920,1080
35,172259,219,75,333,1001,330.0,1029.375,0.9674550294876099,0.9674021005630493,0,0,1920,1080
36,6846,994,121,92,203,1050.0,253.125,0.9649868011474609,0.9750144481658936,0,0,1920,1080
37,936,680,362,36,37,690.0,388.125,0.9617788791656494,0.9851852059364319,0,0,1920,1080
38,1273,525,0,55,70,570.0,16.875,0.9597519040107727,0.9836702942848206,0,0,1920,1080
39,1399,932,1057,89,22,990.0,1063.125,0.9513265490531921,0.9829908013343811,0,0,1920,1080
40,13589,997,0,88,264,1050.0,16.875,0.9503295421600342,0.9691125154495239,0,0,1920,1080
41,49167,1522,872,397,206,1650.0,928.125,0.9498825073242188,0.9841269850730896,0,0,1920,1080
42,4994,519,768,97,142,570.0,860.625,0.9479048252105713,0.9710230827331543,0,0,1920,1080
43,2800,536,855,53,123,570.0,928.125,0.9473434090614319,0.9628981351852417,0,0,1920,1080
44,1643,1813,57,29,58,1830.0,84.375,0.9462255239486694,0.9824773669242859,0,0,1920,1080
45,1534,1197,639,50,40,1230.0,658.125,0.9450269341468811,0.9767441749572754,0,0,1920,1080
46,7525,1060,43,96,232,1110.0,219.375,0.9449194073677063,0.972214937210083,0,0,1920,1080
47,23063,218,748,313,331,270.0,961.875,0.9402392506599426,0.9534883499145508,0,0,1920,1080
48,16032,1071,0,100,253,1110.0,84.375,0.9400205016136169,0.9586665630340576,0,0,1920,1080
49,6921,1077,313,87,111,1110.0,320.625,0.9367939829826355,0.964630663394928,0,0,1920,1080
50,52092,803,0,492,314,810.0,50.625,0.935382604598999,0.9659681916236877,0,0,1920,1080
51,3634,0,268,48,164,30.0,354.375,0.9316676259040833,0.9648933410644531,0,0,1920,1080
52,8128,1747,920,172,110,1830.0,995.625,0.9296292662620544,0.9635637402534485,0,0,1920,1080
53,3481,1831,988,88,91,1890.0,1029.375,0.9259160757064819,0.9697226881980896,0,0,1920,1080
54,524,22,1016,26,40,30.0,1029.375,0.9247046113014221,0.9810606241226196,0,0,1920,1080
55,2352,1062,536,85,46,1110.0,556.875,0.9098624587059021,0.9644945859909058,0,0,1920,1080
56,5796,1031,254,222,117,1230.0,286.875,0.9098489880561829,0.9505882263183594,0,0,1920,1080
57,53547,0,602,329,475,90.0,961.875,0.899255633354187,0.9549654722213745,0,0,1920,1080
58,230773,1188,278,507,797,1650.0,658.125,0.892645537853241,0.9603497385978699,0,0,1920,1080
59,53978,0,820,329,257,90.0,928.125,0.8895531296730042,0.9604698419570923,0,0,1920,1080
60,42434,1570,0,242,274,1710.0,185.625,0.8879241347312927,0.9642053842544556,0,0,1920,1080
61,2421,314,0,70,82,330.0,16.875,0.8858432173728943,0.9548022747039795,0,0,1920,1080
62,4849,629,298,78,84,690.0,320.625,0.8858318328857422,0.9614841938018799,0,0,1920,1080
